,event,start_time,end_time,source
77,meteor,2024-08-04 07:23:32,2024-08-04 07:23:34,NASA
78,meteor,2024-08-04 08:00:46,2024-08-04 08:00:48,NASA
79,meteor,2024-08-04 08:03:14,2024-08-04 08:03:16,NASA
80,meteor,2024-08-04 08:24:53,2024-08-04 08:24:55,NASA
81,meteor,2024-08-04 08:26:29,2024-08-04 08:26:31,NASA
82,meteor,2024-08-04 08:37:14,2024-08-04 08:37:16,NASA
83,meteor,2024-08-04 08:43:00,2024-08-04 08:43:02,NASA
84,meteor,2024-08-04 08:47:40,2024-08-04 08:47:42,NASA
85,meteor,2024-08-04 08:51:40,2024-08-04 08:51:42,NASA
86,meteor,2024-08-04 08:58:39,2024-08-04 08:58:41,NASA
87,meteor,2024-08-04 09:06:25,2024-08-04 09:06:27,NASA
88,meteor,2024-08-04 09:23:55,2024-08-04 09:23:57,NASA
89,meteor,2024-08-04 09:24:46,2024-08-04 09:24:48,NASA
90,meteor,2024-08-04 09:32:01,2024-08-04 09:32:03,NASA
91,meteor,2024-08-04 10:00:08,2024-08-04 10:00:10,NASA
92,meteor,2024-08-04 10:01:25,2024-08-04 10:01:27,NASA
93,meteor,2024-08-04 10:16:34,2024-08-04 10:16:36,NASA
94,meteor,2024-08-04 11:38:28,2024-08-04 11:38:30,NASA
95,meteor,2024-08-05 07:06:27,2024-08-05 07:06:29,NASA
96,meteor,2024-08-05 07:07:37,2024-08-05 07:07:39,NASA
97,meteor,2024-08-05 07:12:45,2024-08-05 07:12:47,NASA
98,meteor,2024-08-05 07:24:07,2024-08-05 07:24:09,NASA
99,meteor,2024-08-05 07:51:23,2024-08-05 07:51:25,NASA
100,meteor,2024-08-05 07:58:03,2024-08-05 07:58:05,NASA
101,meteor,2024-08-05 08:07:09,2024-08-05 08:07:11,NASA
102,meteor,2024-08-05 08:11:27,2024-08-05 08:11:29,NASA
103,meteor,2024-08-05 08:38:41,2024-08-05 08:38:43,NASA
104,meteor,2024-08-05 08:41:24,2024-08-05 08:41:26,NASA
105,meteor,2024-08-05 09:12:28,2024-08-05 09:12:30,NASA
106,meteor,2024-08-05 09:19:41,2024-08-05 09:19:43,NASA
107,meteor,2024-08-05 09:34:49,2024-08-05 09:34:51,NASA
108,meteor,2024-08-05 09:44:22,2024-08-05 09:44:24,NASA
109,meteor,2024-08-05 09:55:01,2024-08-05 09:55:03,NASA
110,meteor,2024-08-05 11:14:10,2024-08-05 11:14:12,NASA
111,meteor,2024-08-03 07:57:43,2024-08-03 07:57:45,NASA
112,meteor,2024-08-03 08:21:27,2024-08-03 08:21:29,NASA
113,meteor,2024-08-03 08:36:06,2024-08-03 08:36:08,NASA
114,meteor,2024-08-03 09:18:01,2024-08-03 09:18:03,NASA
115,meteor,2024-08-03 10:58:17,2024-08-03 10:58:19,NASA
116,meteor,2024-08-04 05:56:00,2024-08-04 05:56:02,NASA
117,meteor,2024-08-04 07:06:44,2024-08-04 07:06:46,NASA
118,meteor,2024-08-04 07:51:16,2024-08-04 07:51:18,NASA
119,meteor,2024-08-04 08:26:29,2024-08-04 08:26:31,NASA
120,meteor,2024-08-04 10:00:08,2024-08-04 10:00:10,NASA
121,meteor,2024-08-04 10:22:18,2024-08-04 10:22:20,NASA
122,meteor,2024-08-05 02:21:28,2024-08-05 02:21:30,NASA
123,meteor,2024-08-05 07:46:34,2024-08-05 07:46:36,NASA
124,meteor,2024-08-05 08:38:41,2024-08-05 08:38:43,NASA
125,meteor,2024-08-05 09:37:28,2024-08-05 09:37:30,NASA
126,meteor,2024-08-05 09:41:40,2024-08-05 09:41:42,NASA
127,meteor,2024-08-05 10:42:12,2024-08-05 10:42:14,NASA
128,meteor,2024-08-05 10:46:10,2024-08-05 10:46:12,NASA
129,meteor,2024-08-06 04:32:04,2024-08-06 04:32:06,NASA
130,meteor,2024-08-06 05:27:57,2024-08-06 05:27:59,NASA
131,meteor,2024-08-06 05:31:50,2024-08-06 05:31:52,NASA
132,meteor,2024-08-06 05:40:31,2024-08-06 05:40:33,NASA
133,meteor,2024-08-06 06:39:48,2024-08-06 06:39:50,NASA
134,meteor,2024-08-06 07:28:14,2024-08-06 07:28:16,NASA
135,meteor,2024-08-06 07:45:43,2024-08-06 07:45:45,NASA
136,meteor,2024-08-06 09:23:03,2024-08-06 09:23:05,NASA
137,meteor,2024-08-06 09:45:28,2024-08-06 09:45:30,NASA
138,meteor,2024-08-06 09:49:20,2024-08-06 09:49:22,NASA
139,meteor,2024-08-06 09:50:03,2024-08-06 09:50:05,NASA
140,meteor,2024-08-06 09:56:27,2024-08-06 09:56:29,NASA
141,meteor,2024-08-06 09:58:52,2024-08-06 09:58:54,NASA
142,meteor,2024-08-06 10:02:54,2024-08-06 10:02:56,NASA
143,meteor,2024-08-06 11:06:46,2024-08-06 11:06:48,NASA
144,meteor,2024-08-06 11:25:39,2024-08-06 11:25:41,NASA
145,meteor,2024-08-06 11:28:53,2024-08-06 11:28:55,NASA
146,meteor,2024-08-06 02:47:26,2024-08-06 02:47:28,NASA
147,meteor,2024-08-07 07:05:45,2024-08-07 07:05:47,NASA
148,meteor,2024-08-07 07:14:27,2024-08-07 07:14:29,NASA
149,meteor,2024-08-07 08:44:46,2024-08-07 08:44:48,NASA
150,meteor,2024-08-07 10:06:29,2024-08-07 10:06:31,NASA
151,meteor,2024-08-07 11:45:24,2024-08-07 11:45:26,NASA
152,meteor,2024-08-08 01:48:41,2024-08-08 01:48:43,NASA
153,meteor,2024-08-08 01:52:49,2024-08-08 01:52:51,NASA
154,meteor,2024-08-08 05:20:26,2024-08-08 05:20:28,NASA
155,meteor,2024-08-08 05:49:55,2024-08-08 05:49:57,NASA
156,meteor,2024-08-08 06:50:23,2024-08-08 06:50:25,NASA
157,meteor,2024-08-08 06:55:24,2024-08-08 06:55:26,NASA
158,meteor,2024-08-08 07:31:15,2024-08-08 07:31:17,NASA
159,meteor,2024-08-08 07:33:07,2024-08-08 07:33:09,NASA
160,meteor,2024-08-08 08:53:35,2024-08-08 08:53:37,NASA
161,meteor,2024-08-08 08:54:03,2024-08-08 08:54:05,NASA
162,meteor,2024-08-08 08:58:43,2024-08-08 08:58:45,NASA
163,meteor,2024-08-08 09:02:05,2024-08-08 09:02:07,NASA
164,meteor,2024-08-08 09:02:24,2024-08-08 09:02:26,NASA
165,meteor,2024-08-08 09:24:19,2024-08-08 09:24:21,NASA
166,meteor,2024-08-08 10:05:20,2024-08-08 10:05:22,NASA
167,meteor,2024-08-08 10:21:53,2024-08-08 10:21:55,NASA
168,meteor,2024-08-08 10:34:57,2024-08-08 10:34:59,NASA
169,meteor,2024-08-08 11:16:05,2024-08-08 11:16:07,NASA
170,meteor,2024-08-08 04:14:53,2024-08-08 04:14:55,NASA
171,meteor,2024-08-08 04:54:02,2024-08-08 04:54:04,NASA
172,meteor,2024-08-08 05:46:44,2024-08-08 05:46:46,NASA
173,meteor,2024-08-08 06:56:46,2024-08-08 06:56:48,NASA
174,meteor,2024-08-08 08:26:47,2024-08-08 08:26:49,NASA
175,meteor,2024-08-08 08:30:41,2024-08-08 08:30:43,NASA
176,meteor,2024-08-08 08:54:03,2024-08-08 08:54:05,NASA
177,meteor,2024-08-08 09:10:40,2024-08-08 09:10:42,NASA
178,meteor,2024-08-09 03:50:50,2024-08-09 03:50:52,NASA
179,meteor,2024-08-09 03:58:34,2024-08-09 03:58:36,NASA
180,meteor,2024-08-09 04:55:05,2024-08-09 04:55:07,NASA
181,meteor,2024-08-09 04:58:38,2024-08-09 04:58:40,NASA
182,meteor,2024-08-09 05:02:36,2024-08-09 05:02:38,NASA
183,meteor,2024-08-09 06:35:52,2024-08-09 06:35:54,NASA
184,meteor,2024-08-09 06:53:15,2024-08-09 06:53:17,NASA
185,meteor,2024-08-09 07:44:06,2024-08-09 07:44:08,NASA
186,meteor,2024-08-09 07:44:48,2024-08-09 07:44:50,NASA
187,meteor,2024-08-09 07:46:04,2024-08-09 07:46:06,NASA
188,meteor,2024-08-09 07:57:46,2024-08-09 07:57:48,NASA
189,meteor,2024-08-09 08:02:40,2024-08-09 08:02:42,NASA
190,meteor,2024-08-09 08:16:55,2024-08-09 08:16:57,NASA
191,meteor,2024-08-09 08:25:03,2024-08-09 08:25:05,NASA
192,meteor,2024-08-09 08:33:02,2024-08-09 08:33:04,NASA
193,meteor,2024-08-09 03:24:36,2024-08-09 03:24:38,NASA
194,meteor,2024-08-09 06:00:20,2024-08-09 06:00:22,NASA
195,meteor,2024-08-09 06:35:52,2024-08-09 06:35:54,NASA
196,meteor,2024-08-09 07:14:02,2024-08-09 07:14:04,NASA
197,meteor,2024-08-09 09:53:27,2024-08-09 09:53:29,NASA
